Volcanoes,Age,Uncertainty (±),Height (m),Height (ft),Quarried,Location,Lat,Long,Visited,Date visited
Boggust Park Crater,130000,NA,14,46,FALSE,-36.955413; 174.813552,-36.955413, 174.813552,NA,NA
Cemetery Crater,NA,NA,33,108,FALSE,-36.989828; 174.841082,-36.989828, 174.841082,NA,NA
Crater Hill,30400,800,NA,NA,FALSE,-36.986546; 174.827135,-36.986546, 174.827135,NA,NA
Hampton Park,57000,32000,43,141,FALSE,-36.950925; 174.89544,-36.950925, 174.89544,NA,NA
Kohuora,33700,2400,37,121,FALSE,-36.97873; 174.842691,-36.97873, 174.842691,NA,NA
Matanginui / Green Mount,19600,6600,78,256,FALSE,-36.939911; 174.898267,-36.939911, 174.898267,NA,NA
Maungataketake / Elletts Mountain,88900,4800,76,249,FALSE,-36.994635; 174.747548,-36.994635, 174.747548,NA,NA
Motukorea / Browns Island,24400,600,68,223,FALSE,-36.8306; 174.8948,-36.8306, 174.8948,NA,NA
Mount Robertson / Sturges Park,24300,800,78,256,FALSE,-36.948477; 174.841726,-36.948477, 174.841726,NA,NA
Ōtāhuhu / Mount Richmond,30200,4200,50,160,FALSE,-36.932562; 174.839451,-36.932562, 174.839451,NA,NA
Ōtuataua,24200,1800,64,210,FALSE,-36.98611; 174.75417,-36.98611, 174.75417,NA,NA
Ōwairaka / Te Ahi-kā-a-Rakataura / Mount Albert,119200,5600,135,443,FALSE,-36.890475; 174.720097,-36.890475, 174.720097,NA,NA
Pukaki Lagoon,45000,NA,37,121,FALSE,-36.982998; 174.810226,-36.982998, 174.810226,NA,NA
Pukeiti,23700,NA,30,98,FALSE,-36.983756; 174.757183,-36.983756, 174.757183,NA,NA
Pukewīwī / Puketāpapa / Mount Roskill,105300,6200,110,360,FALSE,-36.912286; 174.737371,-36.912286, 174.737371,NA,NA
Pukewairiki,130000,NA,35,115,FALSE,-36.944078; 174.865887,-36.944078, 174.865887,NA,NA
Pupuke,193200,5600,34,112,FALSE,-36.780115; 174.766184,-36.780115, 174.766184,NA,NA
Rangitoto Island,620,NA,260,850,FALSE,-36.786742; 174.860115,-36.786742, 174.860115,NA,NA
Rarotonga / Mount Smart,20100,200,87,285,TRUE,-36.91833; 174.81250,-36.91833, 174.81250,NA,NA
Styaks Swamp,19100,NA,16,52,FALSE,-36.936138; 174.900155,-36.936138, 174.900155,NA,NA
Te Apunga-o-Tainui / McLennan Hills,41300,2400,45,148,TRUE,-36.929208; 174.846468,-36.929208, 174.846468,NA,NA
Te Kopua Kai-a-Hiku / Panmure Basin,25200,1800,35,115,FALSE,-36.90495; 174.849343,-36.90495, 174.849343,NA,NA
Te Motu-a-Hiaroa / Puketutu,29800,4400,65,213,FALSE,-36.965186; 174.747248,-36.965186, 174.747248,NA,NA
Te Puke ō Tara / Otara Hill,56500,NA,89,292,TRUE,-36.947105; 174.898363,-36.947105, 174.898363,NA,NA
Te Tauoma / Purchas Hill,10900,200,50,160,TRUE,-36.887138; 174.847476,-36.887138, 174.847476,NA,NA
Waitomokia / Mt Gabriel,20300,200,22,72,TRUE,-36.976981; 174.770336,-36.976981, 174.770336,NA,NA
